"1804";"Apri quell' vocio, o Prencipe, che sei"
"5666v";"Apriés ce que nos avons dit del dounement dou cuer, si volons dire de l'eslevement"
"5666v";"Apriés le traitié de l'aouvrement dou cuer deviset en moult de manieres, traiterons de l'estaublitet dou cuer "
"5666v";"Apriés le traitié de la preparation del cuer si traiterons de la garde dou cuer"
"5666v";"Aqua amente sint sunderlinghes gud"
"1804";"Aquel ardiente fuego"
"5666v";"Aratus patrie quidem est."
"5666v";"Arcatonio griditano octanta anni la sua patria resse"
"5666v";"Archengel Mychael des oversten conyncks andencken in onsen gebede... biddet got voer onse onsaligen"
"5666v";"Archiepiscopus Achervntinus habet suffraganeos."
"1804";"Archómenos gaîán"
"1804";"Are bemy cefaut desolreut"
"1804";"Aria de uno sonetto (Magnificat). Lasso"
"5666v";"Aristoteles ... hat ... auch die kunst wie man gruntlich von einer ieden sachen sol reden oder schreiben an tag gegeben."
"5666v";"Arma Virumque Cano Straßburgs qui moenia schützet. Bl. 14'. Auctor Creditur V Franck"
"5666v";"Artem memoriae amici optimi magni momenti esse."
"5666v";"Artemisia: Beifuß, absinthium: Wermut"
"1804";"Arthimisia byfuyß vnd ist eyn muter aller wortz"
"5666v";"As dar die ellef iongeren aten"
"1804";"As mourns the sad turtle when left by her male"
"1804";"As the most holy sacrifice of the mass"
"5666v";"Asamoneus ex tribu iuda genuit Simeonem."
"5666v";"Aschiburgum ail Iohannem Suicardum Archiepiscopum Moguntinum Electorem venimus."
"5666v";"Assiduis peticionibus me ... compendiose morborum signa causas et curas in scriptum redigere cogitis ... . Diuiditur autem iste liber in Vque particulas quarum prima de signis et causis et curis egritudinum vniuersalium tractatum continet et de exterioris corporis passionibus .... Quinta de febribus."
"5666v";"Assiduus labor est monachis nunc dogmata Christi."
"1804";"Astre qui de la vie es la source fecunde"
"5666v";"Au commencement celui Dieu tout puissant crea le ciel et la terre, la mer, les eaues"
"5666v";"Au commencement crea dieu le ciel"
"5666v";"Au commencement, si comme l'escripture tesmoigne, Dieu crea ciel et terre, selon les docteurs et les sains, en une masse confuse"
"1804";"Au fabuleux cheval, qui servit -a Pers-ee"
"5666v";"Au lieu du prince de Clermont"
"5666v";"Au temps que voulurent les Grecz passer en Asie pour Helene, femme de Menelaus recouvrer"
"5666v";"Au tens Trean l’ampereus que deables avoit grant force et grant pooir"
"5666v";"Au tres reverend, le tres reverend pere Baltus de la Compagnie de Jesus, recteur du colege de Metz. Permettes, s'il vous plait, mon tres reverend pere, qu'ayant recours a vous je me flatte et j'espere"
"5666v";"Auctionor: -aris, id est mercari ... Kaufmannsschatz treiben"
"5666v";"Audi fili monita patris tui et inclina."
"5666v";"Audi filia et uide et jnclina."
"5666v";"Audite somnium quod vidi. Ces parolles sont escriptes genesiis xxxviii capite"
"1804";"Augustijnus Heer salich is hi"
"5666v";"Augustinus ... Macedonio ... salutem. Negociosissimum."
"1804";"Augustinus: die des nijet werdich en is"
"1804";"Auiaðc cie deus vos alðca"
"1804";"Aujourd'huy chacun se demande"
"1804";"Aurum musicum: Nim eynen fyrdynet lb. quicksylbers vnd hytz den"
"1804";"Aurum sol kat eidi"
"5666v";"Ausculta o fili precepta magistri."
"1804";"Autorizo alias et autoro"
"5666v";"Autre fois sur le haut du jour"
"5666v";"Aux nobles qui aiment Paris, Ou les biens ne sont pas taris, Vueil recorder s'il vous agree, Comment la cité fu fondee, De quelle gent n'en quel tempoire"
"1804";"Avant que de partir de cette auguste cour"
"5666v";"Ave Ihesu Christe, verbum patris, filius virginis"
"5666v";"Ave Maria, in nomine sanctae et individuae Trinitatis, Patris et Filii et Spiritus sancti, amen, amen. Met ton cueur, ton corps, ta pensee et toute ta science a amer, a congnoistre ton Createur, si tendras moult haulte sapience"
"5666v";"Ave Maria, ou terme disolu que toute joie fu tournee en douleur"
"1804";"Ave dines großen leyde do du dich must scheyden"
"1804";"Ave du bist ein wort durch grindett suß"
"1804";"Ave got grusße dich reine mait groß loip"
"1804";"Ave pretiosum corpus Domini ... Je vous salue et cry mercy"
"5666v";"Ave tres doulce vierge Marie, mere au doulx sauveur Jhesu Crist, et royne glorieuse fontaine de pitié, flour de bonté"
"5666v";"Ave vierge Marie, je vous deprieray Parfaitement de cuer, mercy je vous crieray"
"5666v";"Ave virge Marie je vous salueray Et en l'honneur de vous je m'agenoilleray Jointes mains a genoils mercy vous crieray"
"5666v";"Ave, heilichste moeder ende maghden Maria, om dar swaert des rouwen, dat dijn heilige siel duerghinc"
"5666v";"Ave, tres doulx sauveurs, glorieulx roy souverain sus tous aultres, roy et seigneur sus"
