hida_5705;count;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicNotation/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicStaff/;https://normdaten.staatsbibliothek-berlin.de/vocabulary/musicColour/;exists
Über jeder Textzeile ein Notensystem aus fünf Linien mit f-Schlüssel und gotischer Choralnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Über jeder Textzeile ein Notensystem aus fünf Linien. Mischform aus Hufnagel- und Metzer Notation mit f-Schlüssel, teilweise auch g- und c-Schlüssel, Kustoden und Akzidentien für b-rotundum und b-quadratum.;1;Neumennotation auf Linien;Fünfliniensystem;;Notation vorhanden
Über jeder Textzeile ein Notensystem aus fünf Notenlinien, c-Linie mit Schlüssel gelb, f-Linie mit Schlüssel rot. Hufnagelnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;"Rot; Gelb";Notation vorhanden
Über jeder Textzeile ein Notensystem aus fünf Notenlinien, c-Schlüssel. Hufnagelnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;;Notation vorhanden
Über jeder Textzeile ein Notensystem aus fünf Notenlinien, f- und c-Linie rot, mit gotischer Choralnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein Notensystem aus fünf Notenlinien, f-Linie rot, c-Schlüssel. Hufnagelnotation.;1;deutsche Neumen auf Linien;Fünfliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier Linien mit gotischer Choralnotation, c- und f-Schlüssel.;2;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier Notenlinien, c- und f-Schlüssel, f-Linie rot. Hufnagelnotation.;1;deutsche Neumen auf Linien;Vierliniensystem;Rot;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier Notenlinien, c- und f-Schlüssel. Hufnagelnotation.;1;deutsche Neumen auf Linien;Vierliniensystem;;Notation vorhanden
Über jeder Textzeile ein Notensystem aus vier Notenlinien, c-Linie (mit Schlüssel) gelb, f-Linie (mit Schlüssel) rot. Gotische Choralnotation.;1;deutsche Neumen auf Linien;Vierliniensystem;"Rot; Gelb";Notation vorhanden
