"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(1"$"Codex germanicus monacensis  5968(1"$"Cod.germ.mon. 5968(1"$"Cod. germ. monac. 5968(1"$"Cgm 5968-1"$"Cgm 5968, 1"$"Cgm 5968/1"$"Cgm 5968(I"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(10"$"Codex germanicus monacensis  5968(10"$"Cod.germ.mon. 5968(10"$"Cod. germ. monac. 5968(10"$"Cgm 5968-10"$"Cgm 5968, 10"$"Cgm 5968/10"$"Cgm 5968(X"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(11"$"Codex germanicus monacensis  5968(11"$"Cod.germ.mon. 5968(11"$"Cod. germ. monac. 5968(11"$"Cgm 5968-11"$"Cgm 5968, 11"$"Cgm 5968/11"$"Cgm 5968(XI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(12"$"Codex germanicus monacensis  5968(12"$"Cod.germ.mon. 5968(12"$"Cod. germ. monac. 5968(12"$"Cgm 5968-12"$"Cgm 5968, 12"$"Cgm 5968/12"$"Cgm 5968(XII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(13"$"Codex germanicus monacensis  5968(13"$"Cod.germ.mon. 5968(13"$"Cod. germ. monac. 5968(13"$"Cgm 5968-13"$"Cgm 5968, 13"$"Cgm 5968/13"$"Cgm 5968(XIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(14"$"Codex germanicus monacensis  5968(14"$"Cod.germ.mon. 5968(14"$"Cod. germ. monac. 5968(14"$"Cgm 5968-14"$"Cgm 5968, 14"$"Cgm 5968/14"$"Cgm 5968(XIV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(15"$"Codex germanicus monacensis  5968(15"$"Cod.germ.mon. 5968(15"$"Cod. germ. monac. 5968(15"$"Cgm 5968-15"$"Cgm 5968, 15"$"Cgm 5968/15"$"Cgm 5968(XV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(16"$"Codex germanicus monacensis  5968(16"$"Cod.germ.mon. 5968(16"$"Cod. germ. monac. 5968(16"$"Cgm 5968-16"$"Cgm 5968, 16"$"Cgm 5968/16"$"Cgm 5968(XVI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(17"$"Codex germanicus monacensis  5968(17"$"Cod.germ.mon. 5968(17"$"Cod. germ. monac. 5968(17"$"Cgm 5968-17"$"Cgm 5968, 17"$"Cgm 5968/17"$"Cgm 5968(XVII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(18"$"Codex germanicus monacensis  5968(18"$"Cod.germ.mon. 5968(18"$"Cod. germ. monac. 5968(18"$"Cgm 5968-18"$"Cgm 5968, 18"$"Cgm 5968/18"$"Cgm 5968(XVIII"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(19"$"Codex germanicus monacensis  5968(19"$"Cod.germ.mon. 5968(19"$"Cod. germ. monac. 5968(19"$"Cgm 5968-19"$"Cgm 5968, 19"$"Cgm 5968/19"$"Cgm 5968(XIX"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(2"$"Codex germanicus monacensis  5968(2"$"Cod.germ.mon. 5968(2"$"Cod. germ. monac. 5968(2"$"Cgm 5968-2"$"Cgm 5968, 2"$"Cgm 5968/2"$"Cgm 5968(II"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(20"$"Codex germanicus monacensis  5968(20"$"Cod.germ.mon. 5968(20"$"Cod. germ. monac. 5968(20"$"Cgm 5968-20"$"Cgm 5968, 20"$"Cgm 5968/20"$"Cgm 5968(XX"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(21"$"Codex germanicus monacensis  5968(21"$"Cod.germ.mon. 5968(21"$"Cod. germ. monac. 5968(21"$"Cgm 5968-21"$"Cgm 5968, 21"$"Cgm 5968/21"$"Cgm 5968(XXI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(3"$"Codex germanicus monacensis  5968(3"$"Cod.germ.mon. 5968(3"$"Cod. germ. monac. 5968(3"$"Cgm 5968-3"$"Cgm 5968, 3"$"Cgm 5968/3"$"Cgm 5968(III"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(4"$"Codex germanicus monacensis  5968(4"$"Cod.germ.mon. 5968(4"$"Cod. germ. monac. 5968(4"$"Cgm 5968-4"$"Cgm 5968, 4"$"Cgm 5968/4"$"Cgm 5968(IV"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(5"$"Codex germanicus monacensis  5968(5"$"Cod.germ.mon. 5968(5"$"Cod. germ. monac. 5968(5"$"Cgm 5968-5"$"Cgm 5968, 5"$"Cgm 5968/5"$"Cgm 5968(V"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(6"$"Codex germanicus monacensis  5968(6"$"Cod.germ.mon. 5968(6"$"Cod. germ. monac. 5968(6"$"Cgm 5968-6"$"Cgm 5968, 6"$"Cgm 5968/6"$"Cgm 5968(VI"
"München"$"4127793-4"$"Bayerische Staatsbibliothek"$"2031351-2"$"Cgm 5968(7"$"Codex germanicus monacensis  5968(7"$"Cod.germ.mon. 5968(7"$"Cod. germ. monac. 5968(7"$"Cgm 5968-7"$"Cgm 5968, 7"$"Cgm 5968/7"$"Cgm 5968(VII"
